Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D4","LED","LED_0805_2012Metric",86.170900,-31.994200,180.000000,top
"D4","LED","LED_0805_2012Metric",56.969300,-101.807400,180.000000,top
"D4","LED","LED_0805_2012Metric",202.977300,-31.994200,180.000000,top
"D4","LED","LED_0805_2012Metric",85.635500,-68.819000,0.000000,top
"D4","LED","LED_0805_2012Metric",85.635500,-208.445400,0.000000,top
"D4","LED","LED_0805_2012Metric",27.232300,-68.819000,0.000000,top
"D4","LED","LED_0805_2012Metric",144.038700,-68.819000,0.000000,top
"D4","LED","LED_0805_2012Metric",144.038700,-208.445400,0.000000,top
"D4","LED","LED_0805_2012Metric",173.240300,-138.632200,0.000000,top
"D5","LED","LED_0805_2012Metric",232.316900,-68.819000,180.000000,top
"D5","LED","LED_0805_2012Metric",144.712100,-138.632200,180.000000,top
"D5","LED","LED_0805_2012Metric",114.699100,-171.620600,0.000000,top
"D5","LED","LED_0805_2012Metric",173.913700,-68.819000,180.000000,top
"D5","LED","LED_0805_2012Metric",57.107300,-208.445400,180.000000,top
"D5","LED","LED_0805_2012Metric",143.900700,-101.807400,0.000000,top
"D5","LED","LED_0805_2012Metric",232.316900,-208.445400,180.000000,top
"D5","LED","LED_0805_2012Metric",173.913700,-208.445400,180.000000,top
"D5","LED","LED_0805_2012Metric",56.295900,-171.620600,0.000000,top
"D5","LED","LED_0805_2012Metric",115.510500,-68.819000,180.000000,top
"D5","LED","LED_0805_2012Metric",56.295900,-31.994200,0.000000,top
"D5","LED","LED_0805_2012Metric",173.102300,-31.994200,0.000000,top
"D5","LED","LED_0805_2012Metric",86.308900,-138.632200,180.000000,top
"D5","LED","LED_0805_2012Metric",203.115300,-138.632200,180.000000,top
"D5","LED","LED_0805_2012Metric",115.510500,-208.445400,180.000000,top
"D5","LED","LED_0805_2012Metric",114.699100,-31.994200,0.000000,top
"D5","LED","LED_0805_2012Metric",27.094300,-101.807400,0.000000,top
"D5","LED","LED_0805_2012Metric",173.102300,-171.620600,0.000000,top
"D5","LED","LED_0805_2012Metric",57.107300,-68.819000,180.000000,top
"D5","LED","LED_0805_2012Metric",85.497500,-101.807400,0.000000,top
"D5","LED","LED_0805_2012Metric",202.303900,-101.807400,0.000000,top
"D6","LED","LED_0805_2012Metric",55.656800,-110.557400,180.000000,top
"D6","LED","LED_0805_2012Metric",84.858400,-180.370600,180.000000,top
"D6","LED","LED_0805_2012Metric",28.544800,-60.069000,0.000000,top
"D6","LED","LED_0805_2012Metric",143.261600,-40.744200,180.000000,top
"D6","LED","LED_0805_2012Metric",57.746400,-129.882200,0.000000,top
"D6","LED","LED_0805_2012Metric",145.351200,-60.069000,0.000000,top
"D6","LED","LED_0805_2012Metric",145.351200,-199.695400,0.000000,top
"D6","LED","LED_0805_2012Metric",203.754400,-199.695400,0.000000,top
"D6","LED","LED_0805_2012Metric",230.866400,-110.557400,180.000000,top
"D6","LED","LED_0805_2012Metric",116.149600,-129.882200,0.000000,top
"D6","LED","LED_0805_2012Metric",86.948000,-199.695400,0.000000,top
"D6","LED","LED_0805_2012Metric",203.754400,-60.069000,0.000000,top
"D6","LED","LED_0805_2012Metric",201.664800,-40.744200,180.000000,top
"D6","LED","LED_0805_2012Metric",143.261600,-180.370600,180.000000,top
"D6","LED","LED_0805_2012Metric",114.060000,-110.557400,180.000000,top
"D6","LED","LED_0805_2012Metric",86.948000,-60.069000,0.000000,top
"D6","LED","LED_0805_2012Metric",172.463200,-110.557400,180.000000,top
"D6","LED","LED_0805_2012Metric",84.858400,-40.744200,180.000000,top
"D6","LED","LED_0805_2012Metric",28.544800,-199.695400,0.000000,top
"D6","LED","LED_0805_2012Metric",201.664800,-180.370600,180.000000,top
"D6","LED","LED_0805_2012Metric",174.552800,-129.882200,0.000000,top
"D7","LED","LED_0805_2012Metric",116.199100,-40.744200,0.000000,top
"D7","LED","LED_0805_2012Metric",172.413700,-60.069000,180.000000,top
"D7","LED","LED_0805_2012Metric",230.816900,-199.695400,180.000000,top
"D7","LED","LED_0805_2012Metric",172.413700,-199.695400,180.000000,top
"D7","LED","LED_0805_2012Metric",55.607300,-199.695400,180.000000,top
"D7","LED","LED_0805_2012Metric",84.808900,-129.882200,180.000000,top
"D7","LED","LED_0805_2012Metric",201.615300,-129.882200,180.000000,top
"D7","LED","LED_0805_2012Metric",86.997500,-110.557400,0.000000,top
